Number,Company,Company URL,Company URL,SAB Link,SAB,Ticker,Whale URL,Crunchbase URL,Venture Funders,Whale URL,Public Holders,# of High Quality Public Holders,Crunchbase URL,Peptide Specialist?,Pitchbook URL
43,"ANI Pharmaceuticals, Inc.",https://www.anipharmaceuticals.com/,https://www.anipharmaceuticals.com/,http://anipharmaceuticals.com/about-board.php,1,ANIP,https://whalewisdom.com/stock/anip,crunchbase.com/organization/biosante-pharmaceuticals/company_financials,3,https://whalewisdom.com/stock/anip,,,https://www.crunchbase.com/organization/ani-pharmaceuticals/company_financials,,https://pitchbook.com/profiles/company/41430-97
44,Antag Therapeutics ApS,https://www.antagtherapeutics.com/,https://www.antagtherapeutics.com/,https://www.antagtherapeutics.com/#team,2,,,https://pitchbook.com/profiles/company/182902-96,3,,,,https://www.crunchbase.com/search/organizations/field/hubs/org_num/arthur-little-alumni-founded-companies,,https://www.bioenterprise.com/wp-content/uploads/2017/08/MiR-July-2017.pdf
45,Antev Limited,https://www.linkedin.com/company/antev-limited,https://www.linkedin.com/company/antev-limited,https://www.antev.co.uk/our-people/board-members/,1,,,https://pitchbook.com/profiles/company/327332-44#overview,1,,,,https://www.crunchbase.com/organization/g2-crowd,,https://pitchbook.com/profiles/company/327332-44
46,"Antlia Bioscience, Inc.",https://antliabio.com/,https://antliabio.com/,https://antliabio.com/advisory-board,2,,,https://antliabio.com/about-us,1,,,,https://www.crunchbase.com/organization/apus,,https://pitchbook.com/profiles/company/442904-68
47,Apeiron Biologics AG,https://www.apeiron-biologics.com/,https://www.apeiron-biologics.com/,http://apeiron-biologics.com/team/#scientific-advisors,2,,,https://www.crunchbase.com/organization/apeiron-biologics,2,,,,https://www.crunchbase.com/organization/apeiron-biologics,,https://pitchbook.com/profiles/company/136786-51
48,"Apellis Pharmaceuticals, Inc.",https://apellis.com/,https://apellis.com/,https://investors.apellis.com/news-releases/news-release-details/apellis-pharmaceuticals-announces-formation-scientific-advisory,2,APLS,https://whalewisdom.com/stock/apls,https://www.crunchbase.com/organization/apellis-pharmaceuticals/company_financials,3,https://whalewisdom.com/stock/apls,,,https://www.crunchbase.com/organization/apellis-pharmaceuticals/company_financials,,https://pitchbook.com/profiles/company/52771-51
49,APEPTICO GmbH,http://www.apeptico.com/,http://www.apeptico.com/,http://www.apeptico.com/index-about_us-people,1,,,https://github.com/bradjasper/Markov-Chains/blob/master/crunchbase.txt,2,,,,https://github.com/bradjasper/Markov-Chains/blob/master/crunchbase.txt,,https://www.morningstar.com/news/business-wire/20201214005380/2020-insights-into-the-acute-respiratory-distress-syndrome-market-to-2030-researchandmarketscom
50,Apitope Technology (Bristol) Ltd,https://apitope.com/,https://apitope.com/,https://apitope.com/clinical-advisory-board/,2,,,https://www.crunchbase.com/organization/apitope/company_financials,2,,,,https://www.crunchbase.com/search/organizations/field/organization.companies/rank_org/41914,,https://www.yumpu.com/en/document/view/35182719/o7v4wz6
51,Aptevo Therapeutics Inc.,https://aptevotherapeutics.com/,https://aptevotherapeutics.com/,https://aptevotherapeutics.com/board-of-directors/,1,APVO,https://whalewisdom.com/stock/apvo,http://businesswire.com/news/home/20160801005403/en/Aptevo-Therapeutics-Completes-Separation-from-Emergent-BioSolutions,N/A,https://whalewisdom.com/stock/apvo,,,https://www.crunchbase.com/organization/aptevo-therapeutics/company_financials,,https://pitchbook.com/profiles/company/163217-71
52,"Aquestive Therapeutics, Inc.",https://aquestive.com/,https://aquestive.com/,https://aquestive.com/about-us/#,1,AQST,https://whalewisdom.com/stock/aqst,http://crunchbase.com/organization/monosolrx/company_financials,2,https://whalewisdom.com/stock/aqst,,,https://www.crunchbase.com/organization/monosolrx/company_financials,,https://pitchbook.com/profiles/company/10508-50
